sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
8936005871975,,DDV,simple,,base,Nem chua ran,<p>abc mo ta</p>,<p>abc</p>,420,1,0,110000,,,,Nem-chua-ran-sp,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/21,8/18/21,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005870862,,DDV,simple,,base,Ca Nuc uop rieng,<p>abc mo ta</p>,<p>abc</p>,700,1,0,80000,,,,Ca-Nuc-uop-rieng-sp,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/22,8/18/22,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872965,,DDV,simple,,base,Ba chi bo nhap khau,<p>abc mo ta</p>,<p>abc</p>,475,1,0,171000,,,,Ba-chi-bo-nhap-khau-sp,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/23,8/18/23,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872972,,DDV,simple,,base,Gau bo nhap khau,<p>abc mo ta</p>,<p>abc</p>,475,1,0,170000,,,,Gau-bo-nhap-khau-sp,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/24,8/18/24,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872989,,DDV,simple,,base,Bap bo nhap khau,<p>abc mo ta</p>,<p>abc</p>,475,1,0,166000,,,,Bap-bo-nhap-khau-sp,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/25,8/18/25,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
8936005872996,,DDV,simple,,base,Nac vai bo nhap khau,<p>abc mo ta</p>,<p>abc</p>,475,1,0,195000,,,,Nac-vai-bo-nhap-khau-sp,,,,,,,,,,,,"7/24/20, 12:36 AM","7/24/20, 12:36 AM",7/22/26,8/18/26,Block after Info Column,,,,Use config,,,,,,,Use config,Vietnam,,0,0,1,0,0,1,1,1,10000,1,1,1,1,0,0,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
